Simulation Time,IMU Accelerometer X,IMU Accelerometer Y,IMU Accelerometer Z,IMU Gyroscope X,IMU Gyroscope Y,IMU Gyroscope Z,IMU Compass,GNSS Latitude,GNSS Longitude,Control Steer,Wheel Physics Tire Friction,Damping Rate,Radius,long_stiff_value,FL_PositionX,FL_PositionY,FL_PositionZ,FR_PositionX,FR_PositionY,FR_PositionZ,BL_PositionX,BL_PositionY,BL_PositionZ,BL_PositionX,BL_PositionY,BL_PositionZ,Vehicle Speed,Long_Speed,FL_Velocity,FR_Velocity,S_FL,S_FR,S_BL,S_BR,
264.6935189,2.051813841,-5.927779198,9.81410408,-0.465245539,-0.110406993,-24.39690125,254.5038861,-0.00016016,-0.000900334,-0.201745868,3.5,0.25,37,3000,-10064.17188,1882.253418,37.05305862,-10109.16699,1721.757935,37.04327393,-9774.861328,1801.146362,37.04772568,-9819.856445,1640.650879,37.03791428,28.83664737,28.76721621,29.66397433,32.13578237,0.03117292,0.1170974,0,0,
264.7441479,3.085042477,-3.730389595,9.804083824,-0.149467831,-0.112371233,-26.38537423,253.1805232,-0.000161551,-0.000903737,-0.164818197,3.5,0.25,37,3000,-10099.66602,1898.723755,37.052742,-10148.35352,1739.309692,37.05064392,-9812.305664,1810.958618,37.04778671,-9860.993164,1651.544556,37.04543686,29.29302112,29.22382762,28.17313187,30.91515905,-0.03595339,0.05787508,0,0,
264.7950509,1.376417041,-6.618211269,9.814367294,-0.54546467,-0.005386164,-31.24877457,251.7397085,-0.000163083,-0.000907181,-0.241003022,3.5,0.25,37,3000,-10135.70898,1917.096558,37.05819321,-10188.52148,1759.001099,37.04741669,-9850.725586,1821.895752,37.05719376,-9903.538086,1663.800293,37.04604721,29.83087334,29.72672201,29.12803142,32.20917569,-0.02013981,0.08350916,0,0,
264.8513409,0.800390005,-4.306190968,9.799736977,-0.107709175,0.083899149,-32.54715938,249.9025789,-0.000164968,-0.000910963,-0.199110031,3.5,0.25,37,3000,-10174.72461,1939.41748,37.05652237,-10232.60742,1783.106812,37.05498886,-9892.958984,1835.078003,37.05776978,-9950.84082,1678.767334,37.05599976,30.07989908,29.98189973,32.36352021,36.17708289,0.07943528,0.20663077,0,0,
264.903342,-0.559525967,-3.590266943,9.79569149,0.169878504,0.156647627,-30.06264391,248.2727591,-0.000166808,-0.000914429,-0.173208341,3.5,0.25,37,3000,-10209.99805,1960.482544,37.05235672,-10272.20508,1805.841675,37.05521774,-9931.242188,1848.349121,37.05588531,-9993.448242,1693.708252,37.05859756,30.03249257,29.95258399,29.58098168,32.87530083,-0.01240635,0.09757812,0,0,
264.9545613,-3.005606651,-6.900697231,9.810011864,-0.398258032,0.272591382,-33.15174382,246.6901496,-0.000168696,-0.000917779,-0.25864023,3.5,0.25,37,3000,-10244.23828,1982.379517,37.05662155,-10310.76465,1829.547119,37.0487175,-9968.742188,1862.459717,37.06414795,-10035.26758,1709.627319,37.05596161,29.63090276,29.51893355,29.26311617,32.58975312,-0.00866621,0.10402881,0,0,
265.0054648,-2.559977531,-4.474300861,9.790786743,-0.029826923,0.28066648,-33.81652613,244.9427141,-0.000170691,-0.000920981,-0.211531177,3.5,0.25,37,3000,-10276.74707,2005.499146,37.05646896,-10347.92383,1854.776245,37.05606079,-10005.05371,1877.196167,37.06297302,-10076.23047,1726.473267,37.0623703,29.19498861,29.08889805,28.72194168,32.33844943,-0.012615,0.11171105,0,0,
265.0580474,-3.761205673,-7.211435318,9.791857719,-0.38607068,0.308607797,-37.21803205,243.098563,-0.000172836,-0.00092416,-0.28854087,3.5,0.25,37,3000,-10308.30762,2030.021118,37.0617981,-10384.33887,1881.68811,37.05413818,-10040.92188,1892.966064,37.06868744,-10116.9541,1744.633179,37.06060791,28.63112668,28.48698232,28.77654807,32.60180007,0.01016484,0.14444555,0,0,
265.1097337,-2.107899189,-4.586492538,9.775610924,0.075481941,0.232644194,-36.90686571,241.1404297,-0.000175056,-0.000927129,-0.235058174,3.5,0.25,37,3000,-10337.79492,2055.467285,37.06154251,-10418.85645,1909.821777,37.06245804,-10075.25488,1909.346558,37.06458664,-10156.31543,1763.70105,37.06530762,28.27019634,28.13742731,28.04313166,32.06196855,-0.00335125,0.13947761,0,0,
265.1604821,-0.906297207,-3.84612608,9.773698807,0.32007299,0.123655826,-33.36728068,239.3556193,-0.000177285,-0.000929957,-0.203662381,3.5,0.25,37,3000,-10365.93457,2080.557129,37.05852509,-10451.41992,1937.463135,37.06323242,-10107.99316,1926.462769,37.05829239,-10193.47754,1783.368896,37.06301498,28.15485372,28.04235281,27.14447824,30.75356462,-0.03201852,0.09668275,0,0,
265.2119471,-0.472426414,-6.536634445,9.791360855,-0.215452714,0.08047577,-35.60396273,237.607528,-0.000179609,-0.000932754,-0.264603674,3.5,0.25,37,3000,-10393.68555,2106.819336,37.06334686,-10483.53613,1966.425659,37.05831146,-10140.61133,1944.855103,37.06231689,-10230.46191,1804.461426,37.0570755,28.13168326,28.00021561,27.5094677,31.13763889,-0.01752658,0.11204997,0,0,
265.2635824,1.545659065,-4.157348633,9.783706665,0.146741572,-0.007577068,-34.65986666,235.7640873,-0.00018206,-0.00093548,-0.214924201,3.5,0.25,37,3000,-10420.77734,2134.515137,37.06175232,-10515.08887,1997.078613,37.06398773,-10173.03418,1964.508789,37.05744553,-10267.3457,1827.072388,37.05949402,28.50157801,28.38023769,27.89498595,31.67327935,-0.01709823,0.11603291,0,0,
265.3152169,2.54012394,-3.401654243,9.788521767,0.318123318,-0.068591374,-31.23506979,234.0679054,-0.000184594,-0.000938194,-0.18294628,3.5,0.25,37,3000,-10447.94336,2162.772705,37.05770874,-10546.21777,2028.140869,37.06292343,-10205.25586,1985.624634,37.05218124,-10303.5293,1850.992676,37.05741119,28.87626637,28.77755113,28.22255437,31.66258876,-0.01928575,0.10025306,0,0,
